gr_number,po_number,po_line_item,received_qty,receipt_date,movement_type,storage_location,received_by
GR-10059,4500030,20,300,2026-07-26,101,SL05,USER016
GR-10060,4500031,10,300,2026-07-18,101,SL03,USER003
GR-10061,4500031,20,92,2026-06-07,101,SL01,USER006
GR-10062,4500031,20,208,2026-06-11,101,SL05,USER006
GR-10063,4500031,30,300,2026-07-13,101,SL04,USER008
GR-10064,4500031,40,143,2026-07-15,101,SL04,USER001
GR-10065,4500032,10,477,2026-02-03,101,SL01,USER007
GR-10066,4500032,10,189,2026-01-31,101,SL05,USER004
GR-10067,4500032,10,334,2026-02-10,101,SL03,USER011
GR-10068,4500033,10,500,2026-08-31,101,SL05,USER011
GR-10069,4500033,20,367,2026-08-07,101,SL03,USER015
GR-10070,4500033,30,115,2026-08-04,101,SL02,USER011
GR-10071,4500033,30,28,2026-08-18,101,SL01,USER006
GR-10072,4500033,30,57,2026-08-27,101,SL02,USER017
GR-10073,4500034,10,200,2026-04-23,101,SL04,USER006
GR-10074,4500035,10,300,2026-06-17,101,SL05,USER006
GR-10075,4500036,10,200,2026-06-04,101,SL04,USER020
GR-10076,4500036,20,150,2026-06-14,101,SL04,USER005
GR-10077,4500036,30,150,2026-05-26,101,SL04,USER016
GR-10078,4500036,40,87,2026-05-14,101,SL02,USER010
GR-10079,4500036,40,50,2026-05-28,101,SL05,USER010
GR-10080,4500036,40,113,2026-06-02,101,SL04,USER019
GR-10081,4500037,10,215,2026-06-04,101,SL05,USER004
GR-10082,4500038,10,50,2026-08-22,101,SL05,USER002
GR-10083,4500038,20,50,2026-08-01,101,SL04,USER004
GR-10084,4500038,30,599,2026-07-01,101,SL04,USER009
GR-10085,4500038,40,139,2026-08-07,101,SL02,USER007
GR-10086,4500038,40,60,2026-08-22,101,SL05,USER014
GR-10087,4500038,40,51,2026-08-23,101,SL05,USER005
GR-10088,4500039,10,235,2026-02-20,101,SL05,USER018
GR-10089,4500039,10,265,2026-02-24,101,SL03,USER010
GR-10090,4500039,20,200,2026-03-07,101,SL02,USER014
GR-10091,4500041,10,171,2026-07-25,101,SL02,USER013
GR-10092,4500041,10,329,2026-08-06,101,SL02,USER019
GR-10093,4500042,10,130,2026-08-01,101,SL01,USER013
GR-10094,4500042,20,300,2026-09-05,101,SL04,USER016
GR-10095,4500043,10,50,2026-04-14,101,SL04,USER012
GR-10096,4500044,10,500,2026-05-06,101,SL02,USER016
GR-10097,4500045,10,232,2026-08-14,101,SL05,USER016
GR-10098,4500045,10,143,2026-08-18,101,SL01,USER004
GR-10099,4500045,10,125,2026-09-07,101,SL01,USER004
GR-10100,4500045,30,50,2026-09-06,101,SL02,USER005
GR-10101,4500046,10,32,2026-07-10,101,SL03,USER003
GR-10102,4500046,10,27,2026-07-11,101,SL01,USER013
GR-10103,4500046,10,41,2026-07-22,101,SL02,USER014
GR-10104,4500046,20,500,2026-07-25,101,SL01,USER005
GR-10105,4500047,10,50,2026-07-05,101,SL01,USER001
GR-10106,4500047,20,127,2026-07-13,101,SL01,USER008
GR-10107,4500047,20,51,2026-07-08,101,SL01,USER011
GR-10108,4500047,20,72,2026-07-23,101,SL03,USER005
GR-10109,4500048,10,246,2026-03-09,101,SL01,USER017
GR-10110,4500048,10,254,2026-03-12,101,SL05,USER006
GR-10111,4500048,20,375,2026-02-04,101,SL04,USER020
GR-10112,4500048,30,284,2026-03-20,101,SL01,USER019
GR-10113,4500048,30,216,2026-04-04,101,SL03,USER014
GR-10114,4500049,10,300,2026-02-27,101,SL01,USER008
GR-10115,4500050,10,148,2026-05-24,101,SL03,USER007
GR-10116,4500051,10,300,2026-07-26,101,SL03,USER002
GR-10117,4500051,20,59,2026-08-14,101,SL01,USER008
GR-10118,4500051,30,150,2026-07-15,101,SL03,USER011
GR-10119,4500052,10,61,2026-08-15,101,SL04,USER003
GR-10120,4500052,10,27,2026-08-19,101,SL01,USER009
GR-10121,4500052,10,62,2026-08-30,101,SL01,USER002
GR-10122,4500053,10,1000,2026-06-17,101,SL04,USER013
GR-10123,4500054,10,100,2026-06-11,101,SL03,USER003
GR-10124,4500055,10,250,2026-04-02,101,SL02,USER018
GR-10125,4500056,10,50,2026-07-26,101,SL03,USER014
GR-10126,4500056,20,56,2026-07-12,101,SL01,USER015
GR-10127,4500056,20,94,2026-07-07,101,SL03,USER006
GR-10128,4500056,30,117,2026-07-03,101,SL04,USER012
GR-10129,4500057,10,118,2026-03-13,101,SL03,USER005
GR-10130,4500057,20,26,2026-03-25,101,SL03,USER014
GR-10131,4500057,20,24,2026-04-09,101,SL05,USER003
GR-10132,4500057,30,556,2026-03-18,101,SL04,USER017
GR-10133,4500057,40,150,2026-03-12,101,SL03,USER006
GR-10134,4500058,10,500,2026-07-27,101,SL02,USER017
GR-10135,4500059,10,18,2026-06-22,101,SL03,USER013
GR-10136,4500059,10,32,2026-06-18,101,SL02,USER002
GR-10137,4500059,20,367,2026-06-03,101,SL04,USER011
GR-10138,4500059,20,241,2026-06-05,101,SL05,USER012
GR-10139,4500059,20,392,2026-06-13,101,SL05,USER002
GR-10140,4500059,30,58,2026-06-18,101,SL04,USER010
GR-10141,4500059,30,42,2026-07-02,101,SL03,USER003
GR-10142,4500060,10,150,2026-01-26,101,SL03,USER019
GR-10143,4500061,10,119,2026-08-17,101,SL05,USER016
GR-10144,4500062,20,179,2026-08-05,101,SL02,USER001
GR-10145,4500063,20,100,2026-03-06,101,SL03,USER001
GR-10146,4500064,10,150,2026-09-06,101,SL01,USER007
GR-10147,4500064,20,50,2026-09-11,101,SL01,USER005
GR-10148,4500064,30,100,2026-08-31,101,SL05,USER014
GR-10149,4500065,10,300,2026-02-16,101,SL05,USER004
GR-10150,4500066,10,98,2026-04-07,101,SL04,USER005
GR-10151,4500066,20,50,2026-03-18,101,SL04,USER011
GR-10152,4500066,30,200,2026-03-13,101,SL02,USER005
GR-10153,4500067,10,1000,2026-04-13,101,SL01,USER006
GR-10154,4500067,20,200,2026-05-23,101,SL05,USER012
GR-10155,4500068,10,100,2026-08-18,101,SL01,USER003
GR-10156,4500069,10,415,2026-08-31,101,SL02,USER011
GR-10157,4500069,20,266,2026-09-03,101,SL05,USER002
GR-10158,4500069,30,300,2026-09-15,101,SL01,USER013
GR-10159,4500070,20,200,2026-07-02,101,SL04,USER004
GR-10160,4500070,30,1000,2026-07-13,101,SL01,USER008
GR-10161,4500071,10,25,2026-05-04,101,SL05,USER019
GR-10162,4500071,10,9,2026-05-11,101,SL01,USER003
GR-10163,4500071,10,16,2026-05-22,101,SL04,USER005
GR-10164,4500071,20,168,2026-04-30,101,SL01,USER006
GR-10165,4500071,20,191,2026-05-06,101,SL04,USER016
GR-10166,4500071,20,141,2026-04-30,101,SL04,USER014
GR-10167,4500072,10,1000,2026-02-14,101,SL03,USER009
GR-10168,4500073,10,150,2026-07-22,101,SL03,USER016
GR-10169,4500073,20,250,2026-07-01,101,SL01,USER009
GR-10170,4500073,30,300,2026-07-16,101,SL05,USER001
GR-10171,4500074,20,150,2026-02-24,101,SL03,USER019
GR-10172,4500075,10,300,2026-05-29,101,SL01,USER011
GR-10173,4500076,10,1000,2026-02-08,101,SL01,USER016
GR-10174,4500076,20,224,2026-02-16,101,SL01,USER008
GR-10175,4500076,30,500,2026-03-04,101,SL02,USER019
GR-10176,4500077,10,160,2026-05-15,101,SL02,USER008
GR-10177,4500077,20,574,2026-04-07,101,SL03,USER019
GR-10178,4500077,20,199,2026-04-20,101,SL04,USER018
GR-10179,4500077,20,227,2026-04-30,101,SL02,USER016
GR-10180,4500077,30,100,2026-05-08,101,SL01,USER017
GR-10181,4500078,10,150,2026-04-24,101,SL02,USER011
GR-10182,4500079,10,63,2026-08-24,101,SL05,USER005
GR-10183,4500079,10,72,2026-09-07,101,SL01,USER012
GR-10184,4500079,10,65,2026-09-15,101,SL05,USER004
GR-10185,4500079,20,150,2026-09-02,101,SL04,USER016
GR-10186,4500080,10,1000,2026-02-23,101,SL02,USER019
GR-10187,4500080,20,100,2026-02-16,101,SL02,USER006
GR-10188,4500080,30,83,2026-01-19,101,SL02,USER020
GR-10189,4500080,30,26,2026-02-01,101,SL05,USER004
GR-10190,4500080,30,41,2026-02-16,101,SL02,USER011
GR-10191,4500081,10,150,2026-07-16,101,SL02,USER003
GR-10192,4500081,20,79,2026-07-22,101,SL04,USER001
GR-10193,4500081,30,100,2026-07-30,101,SL03,USER009
GR-10194,4500081,40,155,2026-08-15,101,SL04,USER006
GR-10195,4500083,10,250,2026-08-20,101,SL01,USER016
GR-10196,4500083,20,250,2026-08-03,101,SL02,USER015
GR-10197,4500083,30,306,2026-08-04,101,SL01,USER003
GR-10198,4500083,30,279,2026-08-15,101,SL02,USER003
GR-10199,4500083,30,415,2026-08-12,101,SL03,USER020
GR-10200,4500085,10,150,2026-05-22,101,SL05,USER014
GR-10201,4500085,20,500,2026-06-01,101,SL02,USER014
GR-10202,4500086,10,791,2026-08-21,101,SL03,USER010
GR-10203,4500086,20,100,2026-08-21,101,SL02,USER002
GR-10204,4500087,10,50,2026-07-08,101,SL05,USER016
GR-10205,4500087,20,50,2026-07-07,101,SL03,USER003
GR-10206,4500088,10,300,2026-08-17,101,SL04,USER016
GR-10207,4500089,10,327,2026-03-16,101,SL04,USER012
GR-10208,4500090,10,500,2026-09-21,101,SL04,USER009
GR-10209,4500090,20,1000,2026-09-09,101,SL02,USER004
GR-10210,4500091,10,300,2026-06-03,101,SL05,USER008
GR-10211,4500091,20,589,2026-07-10,101,SL05,USER008
GR-10212,4500091,20,182,2026-07-04,101,SL04,USER002
GR-10213,4500091,20,229,2026-07-13,101,SL01,USER015
GR-10214,4500092,10,114,2026-07-21,101,SL02,USER002
GR-10215,4500093,10,218,2026-05-09,101,SL05,USER009
GR-10216,4500093,20,411,2026-03-31,101,SL04,USER018
GR-10217,4500093,30,100,2026-04-09,101,SL05,USER015
GR-10218,4500094,20,147,2026-04-27,101,SL01,USER014
GR-10219,4500094,30,150,2026-04-11,101,SL01,USER019
GR-10220,4500095,10,169,2026-05-20,101,SL04,USER009
GR-10221,4500095,20,200,2026-06-22,101,SL01,USER006
GR-10222,4500096,10,250,2026-05-27,101,SL01,USER013
GR-10223,4500097,10,250,2026-05-25,101,SL03,USER012
GR-10224,4500097,20,98,2026-05-03,101,SL01,USER008
GR-10225,4500097,20,51,2026-05-09,101,SL03,USER009
GR-10226,4500097,20,101,2026-05-15,101,SL05,USER003
GR-10227,4500098,10,200,2026-05-12,101,SL04,USER017
GR-10228,4500099,20,500,2026-08-17,101,SL01,USER010
GR-10229,4500099,30,300,2026-07-20,101,SL02,USER007
GR-10230,4500100,20,1000,2026-06-07,101,SL04,USER002
GR-10231,4500101,20,150,2026-06-14,101,SL05,USER013
GR-10232,4500102,10,1000,2026-05-14,101,SL02,USER012
GR-10233,4500103,10,200,2026-08-16,101,SL05,USER018
GR-10234,4500103,20,100,2026-08-23,101,SL01,USER010
GR-10235,4500104,10,200,2026-07-26,101,SL02,USER008
GR-10236,4500105,10,300,2026-07-27,101,SL05,USER001
GR-10237,4500106,10,200,2026-03-08,101,SL02,USER020
GR-10238,4500106,20,300,2026-03-25,101,SL03,USER014
GR-10239,4500108,10,1000,2026-08-05,101,SL05,USER020
GR-10240,4500109,10,1000,2026-01-30,101,SL05,USER020
GR-10241,4500110,10,1000,2026-07-26,101,SL04,USER003
GR-10242,4500110,20,200,2026-07-27,101,SL03,USER009
GR-10243,4500110,30,111,2026-07-20,101,SL02,USER017
GR-10244,4500111,10,74,2026-07-16,101,SL01,USER016
GR-10245,4500111,10,45,2026-07-27,101,SL04,USER013
GR-10246,4500111,10,31,2026-08-07,101,SL01,USER019
GR-10247,4500112,10,500,2026-05-29,101,SL03,USER008
GR-10248,4500112,20,345,2026-06-12,101,SL05,USER010
GR-10249,4500112,30,97,2026-06-12,101,SL02,USER009
GR-10250,4500112,30,153,2026-06-09,101,SL03,USER003
GR-10251,4500113,10,300,2026-05-15,101,SL04,USER011
GR-10252,4500113,20,500,2026-06-19,101,SL01,USER016
GR-10253,4500114,10,36,2026-06-06,101,SL04,USER007
GR-10254,4500115,10,91,2026-05-06,101,SL01,USER005
GR-10255,4500115,10,37,2026-05-06,101,SL03,USER014
GR-10256,4500115,10,72,2026-05-21,101,SL02,USER011
GR-10257,4500116,20,200,2026-08-21,101,SL02,USER011
GR-10258,4500116,30,150,2026-09-02,101,SL02,USER006
GR-10259,4500116,40,300,2026-08-28,101,SL02,USER020
GR-10260,4500117,10,250,2026-06-11,101,SL04,USER013
GR-10261,4500117,20,250,2026-06-30,101,SL01,USER011
GR-10262,4500117,30,500,2026-06-09,101,SL01,USER008
GR-10263,4500118,10,101,2026-07-08,101,SL05,USER019
GR-10264,4500118,10,77,2026-07-05,101,SL01,USER010
GR-10265,4500118,10,122,2026-07-19,101,SL04,USER017
GR-10266,4500118,20,200,2026-05-23,101,SL03,USER016
GR-10267,4500119,10,200,2026-09-13,101,SL01,USER008
GR-10268,4500120,10,107,2026-06-21,101,SL05,USER017
