po_number,po_line_item,material_code,material_description,order_qty,unit_price,currency,po_value,uom,delivery_date,item_status
4500018,30,MAT-45018,Copper Wire 10mm,300,5349,USD,1604700,KG,2026-07-15,Partially Received
4500018,40,MAT-68529,Carbon Steel Sheet,1000,1652,USD,1652000,M,2026-06-22,Partially Received
4500019,10,MAT-52176,Zinc Sheet 1mm,500,2981,INR,1490500,PC,2026-03-08,Closed
4500019,20,MAT-15720,Nickel Bar 15mm,200,8784,INR,1756800,MT,2026-03-05,Fully Received
4500020,10,MAT-26547,Steel Pipe 2inch,1000,1355,EUR,1355000,MT,2026-07-10,Open
4500020,20,MAT-69890,Cast Iron Block,100,1025,EUR,102500,KG,2026-08-10,Closed
4500020,30,MAT-44737,Steel Pipe 2inch,100,1358,EUR,135800,MT,2026-08-07,Fully Received
4500021,10,MAT-92155,Cast Iron Block,500,968,USD,484000,M,2026-06-03,Open
4500022,10,MAT-21846,Aluminum Plate 5mm,250,2446,USD,611500,M,2026-06-15,Open
4500023,10,MAT-16028,Iron Angle 50x50,250,692,INR,173000,MT,2026-02-25,Open
4500024,10,MAT-42007,Brass Rod 20mm,500,3383,EUR,1691500,M,2026-02-20,Closed
4500024,20,MAT-60140,Stainless Sheet 304,100,3558,EUR,355800,PC,2026-03-22,Fully Received
4500025,10,MAT-43466,Aluminum Plate 5mm,250,2272,EUR,568000,KG,2026-08-27,Fully Received
4500026,10,MAT-67898,Titanium Plate 3mm,150,14238,INR,2135700,MT,2026-05-24,Partially Received
4500026,20,MAT-49599,Titanium Plate 3mm,250,13737,INR,3434250,PC,2026-06-18,Fully Received
4500027,10,MAT-57049,MS Round Bar 25mm,500,971,INR,485500,MT,2026-04-22,Partially Received
4500027,20,MAT-11061,HR Coil 2mm,500,3000,INR,1500000,KG,2026-04-03,Fully Received
4500027,30,MAT-56179,Cast Iron Block,200,946,INR,189200,PC,2026-04-24,Closed
4500028,10,MAT-22735,Titanium Plate 3mm,150,14952,INR,2242800,KG,2026-07-10,Partially Received
4500028,20,MAT-57823,Alloy Steel Bar,50,3251,INR,162550,PC,2026-07-07,Open
4500029,10,MAT-36318,Brass Rod 20mm,500,3765,EUR,1882500,PC,2026-04-03,Partially Received
4500029,20,MAT-43681,Zinc Sheet 1mm,250,2713,EUR,678250,M,2026-04-02,Partially Received
4500030,10,MAT-28449,Alloy Steel Bar,1000,2917,INR,2917000,PC,2026-07-24,Fully Received
4500030,20,MAT-61717,Cast Iron Block,300,1085,INR,325500,KG,2026-07-25,Partially Received
4500031,10,MAT-98125,MS Round Bar 25mm,300,1082,INR,324600,MT,2026-07-09,Fully Received
4500031,20,MAT-98452,Cast Iron Block,300,1126,INR,337800,PC,2026-06-02,Fully Received
4500031,30,MAT-39015,HR Coil 2mm,300,2817,INR,845100,KG,2026-07-05,Fully Received
4500031,40,MAT-63516,Forged Steel Component,250,6435,INR,1608750,KG,2026-07-07,Closed
4500032,10,MAT-22739,HR Coil 2mm,1000,2655,EUR,2655000,PC,2026-01-27,Closed
4500033,10,MAT-30253,Iron Angle 50x50,500,744,INR,372000,M,2026-08-21,Open
4500033,20,MAT-14288,Cast Iron Block,500,1050,INR,525000,MT,2026-08-01,Closed
4500033,30,MAT-23022,Iron Angle 50x50,200,763,INR,152600,MT,2026-08-07,Partially Received
4500034,10,MAT-69600,Steel Pipe 2inch,200,1482,EUR,296400,KG,2026-04-16,Closed
4500035,10,MAT-26505,HR Coil 2mm,300,2902,EUR,870600,PC,2026-06-17,Open
4500036,10,MAT-53064,Aluminum Plate 5mm,200,2400,USD,480000,PC,2026-05-30,Open
4500036,20,MAT-42853,Copper Wire 10mm,150,4796,USD,719400,PC,2026-06-19,Open
4500036,30,MAT-56955,Titanium Plate 3mm,150,12105,USD,1815750,PC,2026-05-16,Partially Received
4500036,40,MAT-26614,HR Coil 2mm,250,2589,USD,647250,M,2026-05-19,Open
4500037,10,MAT-87812,Iron Angle 50x50,300,764,USD,229200,KG,2026-06-06,Fully Received
4500038,10,MAT-96363,Aluminum Plate 5mm,50,2429,INR,121450,MT,2026-08-16,Fully Received
4500038,20,MAT-62640,Titanium Plate 3mm,50,12127,INR,606350,M,2026-07-31,Open
4500038,30,MAT-20589,Iron Angle 50x50,1000,832,INR,832000,MT,2026-07-05,Closed
4500038,40,MAT-92978,MS Round Bar 25mm,250,914,INR,228500,MT,2026-08-09,Fully Received
4500039,10,MAT-24996,Copper Wire 10mm,500,5429,INR,2714500,PC,2026-02-17,Fully Received
4500039,20,MAT-54424,Iron Angle 50x50,200,877,INR,175400,M,2026-03-09,Fully Received
4500039,30,MAT-50963,Steel Pipe 2inch,300,1297,INR,389100,MT,2026-03-10,Partially Received
4500039,40,MAT-21188,Stainless Sheet 304,100,4171,INR,417100,KG,2026-02-16,Fully Received
4500040,10,MAT-82924,Carbon Steel Sheet,300,1878,USD,563400,KG,2026-03-10,Partially Received
4500041,10,MAT-16743,Steel Pipe 2inch,500,1562,INR,781000,MT,2026-07-20,Partially Received
4500042,10,MAT-96079,MS Round Bar 25mm,200,1145,INR,229000,M,2026-08-04,Closed
4500042,20,MAT-58176,Cast Iron Block,300,855,INR,256500,KG,2026-08-30,Partially Received
4500043,10,MAT-96223,Alloy Steel Bar,50,3239,USD,161950,MT,2026-04-17,Open
4500043,20,MAT-56009,Stainless Sheet 304,250,3759,USD,939750,KG,2026-03-31,Closed
4500044,10,MAT-28595,Nickel Bar 15mm,500,9346,USD,4673000,KG,2026-04-28,Open
4500045,10,MAT-54681,Aluminum Plate 5mm,500,2185,INR,1092500,PC,2026-08-15,Partially Received
4500045,20,MAT-88148,Copper Wire 10mm,300,5977,INR,1793100,KG,2026-08-22,Open
4500045,30,MAT-20693,Stainless Sheet 304,50,3522,INR,176100,MT,2026-08-29,Fully Received
4500045,40,MAT-67939,Titanium Plate 3mm,1000,13736,INR,13736000,M,2026-08-24,Partially Received
4500046,10,MAT-66349,Alloy Steel Bar,100,3324,EUR,332400,KG,2026-07-04,Partially Received
4500046,20,MAT-97442,Titanium Plate 3mm,1000,14779,EUR,14779000,MT,2026-07-15,Open
4500047,10,MAT-49507,Steel Pipe 2inch,50,1256,EUR,62800,PC,2026-06-26,Closed
4500047,20,MAT-25726,Alloy Steel Bar,250,3061,EUR,765250,KG,2026-07-03,Fully Received
4500048,10,MAT-40161,Stainless Sheet 304,500,3464,INR,1732000,MT,2026-03-10,Open
4500048,20,MAT-70260,Steel Pipe 2inch,500,1243,INR,621500,KG,2026-02-05,Partially Received
4500048,30,MAT-93904,Nickel Bar 15mm,500,8879,INR,4439500,M,2026-03-21,Partially Received
4500049,10,MAT-91018,Steel Pipe 2inch,300,1221,INR,366300,M,2026-02-24,Partially Received
4500050,10,MAT-87184,Steel Pipe 2inch,200,1308,EUR,261600,M,2026-05-29,Open
4500051,10,MAT-53655,Cast Iron Block,300,958,USD,287400,PC,2026-07-19,Open
4500051,20,MAT-76840,Zinc Sheet 1mm,100,2848,USD,284800,PC,2026-08-07,Partially Received
4500051,30,MAT-23474,Brass Rod 20mm,150,3744,USD,561600,PC,2026-07-20,Partially Received
4500052,10,MAT-19876,Stainless Sheet 304,150,4433,USD,664950,PC,2026-08-15,Fully Received
4500052,20,MAT-83989,Iron Angle 50x50,1000,843,USD,843000,MT,2026-08-17,Partially Received
4500053,10,MAT-92756,Iron Angle 50x50,1000,667,EUR,667000,MT,2026-06-09,Partially Received
4500054,10,MAT-70521,Brass Rod 20mm,100,3519,INR,351900,M,2026-06-12,Open
4500055,10,MAT-94497,Brass Rod 20mm,250,3851,USD,962750,KG,2026-04-01,Fully Received
4500056,10,MAT-84928,Nickel Bar 15mm,50,9135,INR,456750,PC,2026-07-29,Partially Received
4500056,20,MAT-69050,Nickel Bar 15mm,150,8974,INR,1346100,KG,2026-07-04,Partially Received
4500056,30,MAT-42472,Carbon Steel Sheet,150,1543,INR,231450,M,2026-07-03,Fully Received
4500057,10,MAT-58870,Zinc Sheet 1mm,150,2824,INR,423600,MT,2026-03-13,Fully Received
4500057,20,MAT-94843,Steel Pipe 2inch,50,1546,INR,77300,MT,2026-03-30,Open
4500057,30,MAT-43029,Brass Rod 20mm,500,3096,INR,1548000,PC,2026-03-08,Partially Received
4500057,40,MAT-50662,MS Round Bar 25mm,150,1148,INR,172200,M,2026-03-12,Closed
4500058,10,MAT-53054,Copper Wire 10mm,500,5644,EUR,2822000,PC,2026-07-29,Open
4500059,10,MAT-50483,Zinc Sheet 1mm,50,2570,INR,128500,PC,2026-06-12,Closed
4500059,20,MAT-39693,Brass Rod 20mm,1000,3970,INR,3970000,PC,2026-06-01,Closed
4500059,30,MAT-80748,MS Round Bar 25mm,100,1001,INR,100100,KG,2026-06-21,Partially Received
4500060,10,MAT-33703,Nickel Bar 15mm,150,8771,INR,1315650,PC,2026-01-25,Fully Received
4500061,10,MAT-90031,Steel Pipe 2inch,200,1573,EUR,314600,MT,2026-08-11,Fully Received
4500062,10,MAT-35430,Zinc Sheet 1mm,250,2444,EUR,611000,MT,2026-08-09,Fully Received
4500062,20,MAT-75916,Iron Angle 50x50,250,846,EUR,211500,M,2026-08-03,Closed
4500063,10,MAT-16839,Alloy Steel Bar,150,3419,INR,512850,M,2026-03-09,Partially Received
4500063,20,MAT-20993,Zinc Sheet 1mm,100,2305,INR,230500,PC,2026-03-11,Partially Received
4500064,10,MAT-22021,Forged Steel Component,150,6051,INR,907650,PC,2026-09-02,Fully Received
4500064,20,MAT-16980,Forged Steel Component,50,5715,INR,285750,M,2026-09-01,Partially Received
4500064,30,MAT-39430,Aluminum Plate 5mm,100,2195,INR,219500,KG,2026-08-29,Partially Received
4500065,10,MAT-28035,Cast Iron Block,300,1165,EUR,349500,KG,2026-02-19,Partially Received
4500066,10,MAT-71487,Carbon Steel Sheet,150,1925,INR,288750,M,2026-04-11,Open
4500066,20,MAT-38266,Forged Steel Component,50,5162,INR,258100,PC,2026-03-13,Fully Received
4500066,30,MAT-25970,MS Round Bar 25mm,200,997,INR,199400,KG,2026-03-16,Closed
4500067,10,MAT-24530,Titanium Plate 3mm,1000,14551,USD,14551000,M,2026-04-14,Open
4500067,20,MAT-28818,Titanium Plate 3mm,200,14110,USD,2822000,MT,2026-05-25,Fully Received
4500067,30,MAT-84798,HR Coil 2mm,300,2814,USD,844200,M,2026-04-25,Closed
4500068,10,MAT-81313,Zinc Sheet 1mm,100,2569,USD,256900,KG,2026-08-15,Fully Received
4500069,10,MAT-43246,HR Coil 2mm,500,2825,USD,1412500,KG,2026-09-04,Partially Received
4500069,20,MAT-96127,Alloy Steel Bar,300,2869,USD,860700,KG,2026-08-27,Partially Received
4500069,30,MAT-54374,Stainless Sheet 304,300,3290,USD,987000,PC,2026-09-15,Fully Received
4500070,10,MAT-69988,Titanium Plate 3mm,150,12746,USD,1911900,KG,2026-07-06,Partially Received
4500070,20,MAT-51365,Aluminum Plate 5mm,200,1844,USD,368800,MT,2026-07-04,Fully Received
4500070,30,MAT-14799,Cast Iron Block,1000,1078,USD,1078000,PC,2026-07-18,Partially Received
4500071,10,MAT-53506,Cast Iron Block,50,1199,EUR,59950,MT,2026-05-07,Open
4500071,20,MAT-67637,Alloy Steel Bar,500,3176,EUR,1588000,M,2026-04-21,Partially Received
4500072,10,MAT-78062,Iron Angle 50x50,1000,827,USD,827000,MT,2026-02-14,Open
4500073,10,MAT-48504,MS Round Bar 25mm,150,1070,USD,160500,MT,2026-07-20,Open
4500073,20,MAT-68447,MS Round Bar 25mm,250,1017,USD,254250,M,2026-07-05,Closed
4500073,30,MAT-15551,Carbon Steel Sheet,300,1727,USD,518100,MT,2026-07-14,Fully Received
4500074,10,MAT-93560,Titanium Plate 3mm,100,12234,EUR,1223400,M,2026-03-27,Partially Received
4500074,20,MAT-28714,Zinc Sheet 1mm,150,2967,EUR,445050,M,2026-02-14,Open
4500075,10,MAT-60181,MS Round Bar 25mm,300,970,EUR,291000,KG,2026-05-29,Closed
4500076,10,MAT-85225,Brass Rod 20mm,1000,3380,USD,3380000,PC,2026-02-05,Partially Received
4500076,20,MAT-24869,Steel Pipe 2inch,250,1521,USD,380250,KG,2026-02-16,Closed
4500076,30,MAT-25435,Iron Angle 50x50,500,782,USD,391000,MT,2026-03-08,Partially Received
4500077,10,MAT-74382,Aluminum Plate 5mm,250,2426,USD,606500,PC,2026-05-15,Open
4500077,20,MAT-68341,Stainless Sheet 304,1000,3351,USD,3351000,KG,2026-04-12,Partially Received
4500077,30,MAT-81063,Titanium Plate 3mm,100,13423,USD,1342300,MT,2026-05-06,Partially Received
4500078,10,MAT-76683,Carbon Steel Sheet,150,1863,INR,279450,PC,2026-04-23,Open
4500079,10,MAT-13445,Alloy Steel Bar,200,2942,EUR,588400,MT,2026-08-25,Partially Received
4500079,20,MAT-21300,Iron Angle 50x50,150,855,EUR,128250,KG,2026-09-02,Partially Received
4500080,10,MAT-63843,Carbon Steel Sheet,1000,1868,USD,1868000,M,2026-02-17,Open
4500080,20,MAT-71057,Stainless Sheet 304,100,3849,USD,384900,MT,2026-02-12,Closed
4500080,30,MAT-66704,Forged Steel Component,150,6697,USD,1004550,KG,2026-01-23,Open
4500081,10,MAT-52291,Stainless Sheet 304,150,3822,USD,573300,PC,2026-07-11,Partially Received
4500081,20,MAT-35729,Zinc Sheet 1mm,100,2490,USD,249000,MT,2026-07-17,Closed
4500081,30,MAT-94015,Titanium Plate 3mm,100,13240,USD,1324000,PC,2026-08-02,Closed
4500081,40,MAT-15399,Stainless Sheet 304,300,4478,USD,1343400,KG,2026-08-06,Open
4500082,10,MAT-37631,Titanium Plate 3mm,250,14362,EUR,3590500,M,2026-06-26,Open
4500083,10,MAT-49596,Forged Steel Component,250,6284,EUR,1571000,M,2026-08-13,Closed
4500083,20,MAT-19564,Alloy Steel Bar,250,3215,EUR,803750,KG,2026-08-01,Closed
4500083,30,MAT-36741,Iron Angle 50x50,1000,756,EUR,756000,MT,2026-08-01,Closed
4500084,10,MAT-55268,Cast Iron Block,300,1167,INR,350100,M,2026-05-20,Closed
4500084,20,MAT-41685,Alloy Steel Bar,100,3179,INR,317900,M,2026-04-24,Open
4500085,10,MAT-16632,Iron Angle 50x50,150,713,INR,106950,MT,2026-05-22,Fully Received
4500085,20,MAT-30932,Cast Iron Block,500,1115,INR,557500,MT,2026-05-31,Partially Received
4500086,10,MAT-71186,Alloy Steel Bar,1000,2963,USD,2963000,M,2026-08-18,Partially Received
4500086,20,MAT-76249,Iron Angle 50x50,100,655,USD,65500,M,2026-08-11,Closed
4500087,10,MAT-46877,Nickel Bar 15mm,50,8722,INR,436100,M,2026-07-04,Fully Received
4500087,20,MAT-66482,Copper Wire 10mm,50,5599,INR,279950,PC,2026-07-07,Partially Received
4500088,10,MAT-62505,Alloy Steel Bar,300,3212,EUR,963600,KG,2026-08-10,Closed
4500088,20,MAT-60639,Brass Rod 20mm,250,3566,EUR,891500,M,2026-08-12,Partially Received
4500089,10,MAT-54444,Stainless Sheet 304,500,3398,INR,1699000,MT,2026-03-10,Closed
4500090,10,MAT-15276,Nickel Bar 15mm,500,9042,EUR,4521000,KG,2026-09-12,Open
4500090,20,MAT-69898,Stainless Sheet 304,1000,3882,EUR,3882000,PC,2026-09-13,Closed
4500091,10,MAT-61505,Forged Steel Component,300,6255,USD,1876500,MT,2026-05-26,Partially Received
4500091,20,MAT-83783,Zinc Sheet 1mm,1000,2721,USD,2721000,MT,2026-06-30,Fully Received
4500092,10,MAT-86507,Brass Rod 20mm,100,3339,USD,333900,MT,2026-07-20,Open
4500093,10,MAT-16731,Copper Wire 10mm,200,5842,USD,1168400,M,2026-05-10,Closed
4500093,20,MAT-99224,Zinc Sheet 1mm,500,2844,USD,1422000,PC,2026-04-03,Open
4500093,30,MAT-12482,Nickel Bar 15mm,100,9941,USD,994100,M,2026-04-06,Partially Received
4500094,10,MAT-75774,Stainless Sheet 304,200,4045,EUR,809000,M,2026-04-10,Open
4500094,20,MAT-52604,Carbon Steel Sheet,200,1570,EUR,314000,M,2026-04-19,Fully Received
4500094,30,MAT-79878,Brass Rod 20mm,150,3979,EUR,596850,MT,2026-04-13,Partially Received
4500095,10,MAT-46569,Nickel Bar 15mm,200,8991,EUR,1798200,MT,2026-05-14,Closed
4500095,20,MAT-74094,Copper Wire 10mm,200,5091,EUR,1018200,MT,2026-06-12,Fully Received
4500096,10,MAT-25974,Zinc Sheet 1mm,250,2938,EUR,734500,M,2026-05-20,Fully Received
4500096,20,MAT-15513,Cast Iron Block,150,976,EUR,146400,MT,2026-05-20,Open
4500097,10,MAT-38047,Forged Steel Component,250,5905,USD,1476250,PC,2026-05-15,Partially Received
4500097,20,MAT-24316,Forged Steel Component,250,6151,USD,1537750,PC,2026-04-23,Closed
4500098,10,MAT-40518,Titanium Plate 3mm,200,14175,USD,2835000,KG,2026-05-04,Open
4500099,10,MAT-99285,Brass Rod 20mm,1000,3734,USD,3734000,PC,2026-07-13,Open
4500099,20,MAT-72350,Zinc Sheet 1mm,500,2361,USD,1180500,M,2026-08-17,Closed
4500099,30,MAT-94659,Alloy Steel Bar,300,3094,USD,928200,KG,2026-07-25,Open
4500100,10,MAT-64773,Zinc Sheet 1mm,50,2956,USD,147800,PC,2026-06-11,Open
4500100,20,MAT-47941,Cast Iron Block,1000,1003,USD,1003000,KG,2026-06-11,Open
4500101,10,MAT-47298,Nickel Bar 15mm,100,9234,USD,923400,M,2026-05-25,Fully Received
4500101,20,MAT-71344,Forged Steel Component,150,6922,USD,1038300,MT,2026-06-05,Closed
4500102,10,MAT-43720,Brass Rod 20mm,1000,3166,USD,3166000,PC,2026-05-19,Open
4500103,10,MAT-90079,Alloy Steel Bar,200,3102,USD,620400,M,2026-08-06,Fully Received
4500103,20,MAT-97720,Zinc Sheet 1mm,100,2535,USD,253500,KG,2026-08-20,Closed
4500104,10,MAT-44181,Iron Angle 50x50,200,732,INR,146400,M,2026-07-25,Closed
4500105,10,MAT-86344,Alloy Steel Bar,300,3073,INR,921900,KG,2026-07-19,Partially Received
4500105,20,MAT-97528,Titanium Plate 3mm,200,13472,INR,2694400,KG,2026-07-03,Fully Received
4500105,30,MAT-75866,Copper Wire 10mm,500,4827,INR,2413500,MT,2026-08-12,Open
4500106,10,MAT-27507,Brass Rod 20mm,200,3629,INR,725800,M,2026-03-09,Closed
4500106,20,MAT-81989,Iron Angle 50x50,300,841,INR,252300,M,2026-03-21,Closed
4500107,10,MAT-68556,Titanium Plate 3mm,100,14440,USD,1444000,MT,2026-06-16,Open
4500107,20,MAT-81781,Forged Steel Component,100,6155,USD,615500,PC,2026-05-17,Closed
4500108,10,MAT-99167,Brass Rod 20mm,1000,3874,INR,3874000,PC,2026-08-01,Fully Received
4500109,10,MAT-69432,Forged Steel Component,1000,6045,EUR,6045000,PC,2026-01-24,Fully Received
4500110,10,MAT-50392,Nickel Bar 15mm,1000,8118,EUR,8118000,KG,2026-07-28,Fully Received
4500110,20,MAT-19572,Copper Wire 10mm,200,4506,EUR,901200,KG,2026-07-22,Fully Received
4500110,30,MAT-17897,Brass Rod 20mm,100,3717,EUR,371700,KG,2026-07-19,Fully Received
4500111,10,MAT-94085,Copper Wire 10mm,150,5337,INR,800550,M,2026-07-17,Partially Received
4500112,10,MAT-20518,Iron Angle 50x50,500,872,USD,436000,PC,2026-05-28,Partially Received
4500112,20,MAT-26691,MS Round Bar 25mm,500,941,USD,470500,PC,2026-06-06,Open
4500112,30,MAT-98276,Alloy Steel Bar,250,2823,USD,705750,M,2026-06-02,Fully Received
4500113,10,MAT-46129,Aluminum Plate 5mm,300,2271,USD,681300,PC,2026-05-11,Open
4500113,20,MAT-12050,HR Coil 2mm,500,2914,USD,1457000,PC,2026-06-10,Closed
4500114,10,MAT-88352,MS Round Bar 25mm,50,1154,INR,57700,KG,2026-06-09,Closed
4500115,10,MAT-38477,Steel Pipe 2inch,200,1649,EUR,329800,KG,2026-04-28,Closed
4500116,10,MAT-88370,Copper Wire 10mm,300,4979,USD,1493700,MT,2026-08-26,Closed
4500116,20,MAT-49387,Copper Wire 10mm,200,4793,USD,958600,MT,2026-08-16,Open
4500116,30,MAT-98965,Zinc Sheet 1mm,150,2805,USD,420750,M,2026-08-30,Fully Received
4500116,40,MAT-97994,HR Coil 2mm,300,2997,USD,899100,M,2026-08-31,Partially Received
4500117,10,MAT-34101,Steel Pipe 2inch,250,1352,USD,338000,M,2026-06-03,Closed
4500117,20,MAT-28920,Cast Iron Block,250,915,USD,228750,M,2026-06-24,Open
4500117,30,MAT-79467,Zinc Sheet 1mm,500,2622,USD,1311000,PC,2026-06-14,Fully Received
4500118,10,MAT-20363,Copper Wire 10mm,300,4916,USD,1474800,M,2026-07-01,Partially Received
4500118,20,MAT-45187,MS Round Bar 25mm,200,1124,USD,224800,M,2026-05-24,Open
4500119,10,MAT-37379,Aluminum Plate 5mm,200,2401,USD,480200,MT,2026-09-06,Partially Received
4500120,10,MAT-41797,Aluminum Plate 5mm,100,1994,INR,199400,PC,2026-06-26,Fully Received
