invoice_number,po_number,vendor_id,vendor_name,invoice_date,posting_date,due_date,currency,payment_terms,invoice_status,posted_by
INV-80034,4500038,V-2151,Karnataka Forgings,2026-08-27,2026-08-30,2026-09-26,INR,Net30,Paid,USER013
INV-80035,4500039,V-2173,Maharashtra Metals,2026-03-21,2026-03-25,2026-04-20,INR,Net45,Blocked,USER002
INV-80036,4500041,V-2173,Maharashtra Metals,2026-08-21,2026-08-22,2026-09-20,INR,AdvancePayment,Blocked,USER016
INV-80037,4500042,V-2195,Odisha Steel Works,2026-09-19,2026-09-20,2026-10-19,INR,Net45,Pending Approval,USER016
INV-80038,4500043,V-2118,Hyderabad Metals,2026-04-20,2026-04-22,2026-05-20,USD,Net30,Pending Approval,USER017
INV-80039,4500044,V-2041,Anand Steel Traders,2026-05-17,2026-05-20,2026-06-16,USD,Net60,Partially Paid,USER008
INV-80040,4500045,V-2151,Karnataka Forgings,2026-09-15,2026-09-19,2026-10-15,INR,Net45,Partially Paid,USER003
INV-80041,4500046,V-2041,Anand Steel Traders,2026-08-02,2026-08-04,2026-09-01,EUR,Net30,Pending Approval,USER016
INV-80042,4500047,V-2041,Anand Steel Traders,2026-07-24,2026-07-24,2026-08-23,EUR,AdvancePayment,Partially Paid,USER014
INV-80043,4500048,V-2129,Indo Steel Corp,2026-04-13,2026-04-13,2026-05-13,INR,Net30,Pending Approval,USER020
INV-80044,4500050,V-2052,Bharat Forgings Ltd,2026-06-08,2026-06-12,2026-07-08,EUR,AdvancePayment,Blocked,USER007
INV-80045,4500051,V-2074,Delhi Steel Works,2026-08-22,2026-08-24,2026-09-21,USD,Net45,Paid,USER002
INV-80046,4500052,V-2063,Coastal Metals,2026-09-13,2026-09-16,2026-10-13,USD,Immediate,Paid,USER018
INV-80047,4500053,V-2041,Anand Steel Traders,2026-06-27,2026-06-30,2026-07-27,EUR,Net30,Disputed,USER012
INV-80048,4500054,V-2074,Delhi Steel Works,2026-06-13,2026-06-13,2026-07-13,INR,Net60,Disputed,USER008
INV-80049,4500055,V-2096,Ferro Alloys India,2026-04-08,2026-04-13,2026-05-08,USD,AdvancePayment,Paid,USER018
INV-80050,4500056,V-2173,Maharashtra Metals,2026-08-07,2026-08-07,2026-09-06,INR,AdvancePayment,Pending Approval,USER006
INV-80051,4500057,V-2195,Odisha Steel Works,2026-04-23,2026-04-28,2026-05-23,INR,Net30,Disputed,USER014
INV-80052,4500058,V-2085,Eastern Suppliers,2026-08-06,2026-08-07,2026-09-05,EUR,Net60,Approved,USER004
INV-80053,4500060,V-2041,Anand Steel Traders,2026-02-03,2026-02-04,2026-03-05,INR,Net60,Disputed,USER011
INV-80054,4500061,V-2129,Indo Steel Corp,2026-08-24,2026-08-24,2026-09-23,EUR,Net30,Disputed,USER019
INV-80055,4500062,V-2195,Odisha Steel Works,2026-08-20,2026-08-23,2026-09-19,EUR,Net30,Partially Paid,USER019
INV-80056,4500064,V-2195,Odisha Steel Works,2026-09-19,2026-09-19,2026-10-19,INR,Net60,Blocked,USER002
INV-80057,4500065,V-2151,Karnataka Forgings,2026-02-23,2026-02-27,2026-03-25,EUR,Immediate,Partially Paid,USER017
INV-80058,4500066,V-2184,Nagpur Industries,2026-04-22,2026-04-23,2026-05-22,INR,Immediate,Disputed,USER019
INV-80059,4500067,V-2162,Ludhiana Steel Mills,2026-06-06,2026-06-07,2026-07-06,USD,Net45,Pending Approval,USER013
INV-80060,4500068,V-2173,Maharashtra Metals,2026-08-28,2026-08-30,2026-09-27,USD,Net30,Blocked,USER013
INV-80061,4500069,V-2074,Delhi Steel Works,2026-09-25,2026-09-30,2026-10-25,USD,Net60,Approved,USER009
INV-80062,4500070,V-2041,Anand Steel Traders,2026-07-19,2026-07-21,2026-08-18,USD,Net60,Partially Paid,USER005
INV-80063,4500071,V-2173,Maharashtra Metals,2026-06-01,2026-06-06,2026-07-01,EUR,AdvancePayment,Disputed,USER017
INV-80064,4500072,V-2096,Ferro Alloys India,2026-02-26,2026-03-02,2026-03-28,USD,Net45,Paid,USER018
INV-80065,4500073,V-2052,Bharat Forgings Ltd,2026-07-26,2026-07-27,2026-08-25,USD,Net60,Blocked,USER010
INV-80066,4500074,V-2129,Indo Steel Corp,2026-03-11,2026-03-16,2026-04-10,EUR,Net45,Approved,USER006
INV-80067,4500075,V-2162,Ludhiana Steel Mills,2026-06-10,2026-06-15,2026-07-10,EUR,AdvancePayment,Paid,USER004
INV-80068,4500076,V-2107,Gujarat Industries,2026-03-13,2026-03-16,2026-04-12,USD,AdvancePayment,Blocked,USER019
INV-80069,4500078,V-2162,Ludhiana Steel Mills,2026-05-05,2026-05-10,2026-06-04,INR,Net45,Blocked,USER010
INV-80070,4500079,V-2151,Karnataka Forgings,2026-09-22,2026-09-22,2026-10-22,EUR,AdvancePayment,Blocked,USER004
INV-80071,4500080,V-2129,Indo Steel Corp,2026-02-26,2026-02-26,2026-03-28,USD,Net45,Disputed,USER002
INV-80072,4500081,V-2140,Jaipur Manufacturing,2026-08-28,2026-08-29,2026-09-27,USD,Immediate,Paid,USER009
INV-80073,4500083,V-2129,Indo Steel Corp,2026-08-21,2026-08-26,2026-09-20,EUR,Net60,Paid,USER007
INV-80074,4500085,V-2074,Delhi Steel Works,2026-06-02,2026-06-04,2026-07-02,INR,Immediate,Partially Paid,USER004
INV-80075,4500086,V-2074,Delhi Steel Works,2026-09-01,2026-09-06,2026-10-01,USD,Immediate,Blocked,USER008
INV-80076,4500087,V-2063,Coastal Metals,2026-07-17,2026-07-20,2026-08-16,INR,Net30,Approved,USER017
INV-80077,4500088,V-2063,Coastal Metals,2026-08-30,2026-09-04,2026-09-29,EUR,Immediate,Paid,USER002
INV-80078,4500090,V-2140,Jaipur Manufacturing,2026-10-04,2026-10-09,2026-11-03,EUR,Immediate,Paid,USER018
INV-80079,4500091,V-2162,Ludhiana Steel Mills,2026-07-25,2026-07-27,2026-08-24,USD,Net45,Approved,USER020
INV-80080,4500092,V-2118,Hyderabad Metals,2026-08-04,2026-08-07,2026-09-03,USD,Immediate,Approved,USER012
INV-80081,4500093,V-2074,Delhi Steel Works,2026-05-18,2026-05-23,2026-06-17,USD,AdvancePayment,Blocked,USER007
INV-80082,4500094,V-2063,Coastal Metals,2026-05-01,2026-05-03,2026-05-31,EUR,Net45,Partially Paid,USER006
INV-80083,4500096,V-2074,Delhi Steel Works,2026-05-30,2026-06-04,2026-06-29,EUR,Net30,Blocked,USER004
INV-80084,4500097,V-2041,Anand Steel Traders,2026-06-01,2026-06-03,2026-07-01,USD,Immediate,Blocked,USER009
INV-80085,4500098,V-2074,Delhi Steel Works,2026-05-22,2026-05-24,2026-06-21,USD,Net30,Pending Approval,USER011
INV-80086,4500099,V-2151,Karnataka Forgings,2026-09-01,2026-09-02,2026-10-01,USD,Net45,Pending Approval,USER005
INV-80087,4500101,V-2151,Karnataka Forgings,2026-06-27,2026-07-02,2026-07-27,USD,Net45,Blocked,USER010
INV-80088,4500102,V-2107,Gujarat Industries,2026-05-24,2026-05-28,2026-06-23,USD,Net60,Paid,USER003
INV-80089,4500103,V-2085,Eastern Suppliers,2026-08-29,2026-09-02,2026-09-28,USD,Net60,Approved,USER006
INV-80090,4500104,V-2041,Anand Steel Traders,2026-08-08,2026-08-12,2026-09-07,INR,Net60,Approved,USER014
INV-80091,4500105,V-2173,Maharashtra Metals,2026-08-03,2026-08-03,2026-09-02,INR,Net45,Paid,USER008
INV-80092,4500106,V-2140,Jaipur Manufacturing,2026-04-05,2026-04-07,2026-05-05,INR,Immediate,Paid,USER012
INV-80093,4500108,V-2140,Jaipur Manufacturing,2026-08-18,2026-08-22,2026-09-17,INR,Net45,Blocked,USER016
INV-80094,4500110,V-2052,Bharat Forgings Ltd,2026-08-07,2026-08-07,2026-09-06,EUR,Net45,Pending Approval,USER012
INV-80095,4500111,V-2184,Nagpur Industries,2026-08-22,2026-08-27,2026-09-21,INR,AdvancePayment,Blocked,USER020
INV-80096,4500112,V-2129,Indo Steel Corp,2026-06-13,2026-06-18,2026-07-13,USD,Net30,Paid,USER013
INV-80097,4500115,V-2151,Karnataka Forgings,2026-05-30,2026-06-04,2026-06-29,EUR,Immediate,Paid,USER001
INV-80098,4500117,V-2085,Eastern Suppliers,2026-07-06,2026-07-10,2026-08-05,USD,AdvancePayment,Blocked,USER015
INV-80099,4500118,V-2041,Anand Steel Traders,2026-07-24,2026-07-29,2026-08-23,USD,Net45,Approved,USER011
INV-80100,4500119,V-2096,Ferro Alloys India,2026-09-15,2026-09-16,2026-10-15,USD,Net60,Blocked,USER018
INV-80101,4500120,V-2041,Anand Steel Traders,2026-06-23,2026-06-24,2026-07-23,INR,Net45,Disputed,USER007
